[2026-05-08 15:35:09] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-11 11:28:53] ALERT: Intrusion Detected | Track ID: 138 | Action: Security Team Dispatched
[2026-05-11 11:28:58] ALERT: Intrusion Detected | Track ID: 138 | Action: Security Team Dispatched
[2026-05-11 11:29:03] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:29:08] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:29:10] ALERT: Running Detected | Track ID: 154 | Action: Security Alert Triggered
[2026-05-11 11:29:13] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:29:19] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:29:24] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:29:29] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:29:30] ALERT: Running Detected | Track ID: 154 | Action: Security Alert Triggered
[2026-05-11 11:29:34] ALERT: Intrusion Detected | Track ID: 146 | Action: Security Team Dispatched
[2026-05-11 11:57:07] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-11 11:57:10] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-11 11:57:19] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-11 11:57:27] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-11 11:57:34] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-11 11:57:34] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-11 11:57:39] ALERT: Running Detected | Track ID: 48 | Action: Security Alert Triggered
[2026-05-11 11:57:40] ALERT: Intrusion Detected | Track ID: 48 | Action: Security Team Dispatched
[2026-05-12 10:06:04] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-12 10:06:07] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-12 10:06:16] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-12 10:06:23] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-12 10:06:27] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-12 10:06:31] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-12 10:06:33] ALERT: Intrusion Detected | Track ID: 48 | Action: Security Team Dispatched
[2026-05-12 10:06:38] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-12 10:06:40] ALERT: Running Detected | Track ID: 32 | Action: Security Alert Triggered
[2026-05-12 10:06:43] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-12 10:06:49] ALERT: Running Detected | Track ID: 90 | Action: Security Alert Triggered
[2026-05-12 10:06:55] ALERT: Running Detected | Track ID: 47 | Action: Security Alert Triggered
[2026-05-12 10:07:09] ALERT: Running Detected | Track ID: 93 | Action: Security Alert Triggered
[2026-05-12 10:07:10] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-12 10:07:15] ALERT: Intrusion Detected | Track ID: 105 | Action: Security Team Dispatched
[2026-05-12 10:17:19] ALERT: Intrusion Detected | Track ID: 10 | Action: Security Team Dispatched
[2026-05-12 10:17:21] ALERT: Running Detected | Track ID: 39 | Action: Security Alert Triggered
[2026-05-12 10:17:30] ALERT: Running Detected | Track ID: 41 | Action: Security Alert Triggered
[2026-05-12 10:17:36] ALERT: Running Detected | Track ID: 10 | Action: Security Alert Triggered
[2026-05-12 10:17:40] ALERT: Intrusion Detected | Track ID: 55 | Action: Security Team Dispatched
[2026-05-12 10:17:43] ALERT: Running Detected | Track ID: 52 | Action: Security Alert Triggered
[2026-05-12 10:17:45] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-12 10:17:50] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-12 10:17:51] ALERT: Running Detected | Track ID: 32 | Action: Security Alert Triggered
[2026-05-12 10:17:55] ALERT: Intrusion Detected | Track ID: 47 | Action: Security Team Dispatched
[2026-05-12 10:18:00] ALERT: Running Detected | Track ID: 90 | Action: Security Alert Triggered
[2026-05-12 10:18:06] ALERT: Running Detected | Track ID: 47 | Action: Security Alert Triggered
[2026-05-12 10:18:19] ALERT: Running Detected | Track ID: 93 | Action: Security Alert Triggered
[2026-05-12 10:18:20] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-12 10:18:25] ALERT: Intrusion Detected | Track ID: 105 | Action: Security Team Dispatched
[2026-05-12 10:18:30] ALERT: Intrusion Detected | Track ID: 118 | Action: Security Team Dispatched
[2026-05-12 10:18:33] ALERT: Running Detected | Track ID: 113 | Action: Security Alert Triggered
[2026-05-12 10:18:36] ALERT: Intrusion Detected | Track ID: 113 | Action: Security Team Dispatched
[2026-05-12 10:18:41] ALERT: Intrusion Detected | Track ID: 93 | Action: Security Team Dispatched
